UserID,title
[327047],Tourists snap up British iPads to smuggle into China
[401818],Tourists snap up British iPads to smuggle into China
[564061],Tourists snap up British iPads to smuggle into China
[446376],Tourists snap up British iPads to smuggle into China
[242912],AFTER SEATTLE; Anarchists get organized.
[645264],AFTER SEATTLE; Anarchists get organized.
[654139],$10bn oil payout voided
[162287],$10bn oil payout voided
[682811],$10bn oil payout voided
[910568],Craft capitalism: Just do it yourself; Web market prospers by tapping into an old-style yearning for personal contact
[204180],Chevron gas project gets state green light
[219047],Minister's dash to save LNG deal
[754989],Minister's dash to save LNG deal
[867548],Minister's dash to save LNG deal
[318978],Minister's dash to save LNG deal
[96722],"John Sauven: 'I want to claim the arctic region for all of mankind'; The Monday Interview: As his campaign group turns 40, Greenpeace director John Sauven tells Michael McCarthy how he plans to save the Pole from big oil"
[790654],"John Sauven: 'I want to claim the arctic region for all of mankind'; The Monday Interview: As his campaign group turns 40, Greenpeace director John Sauven tells Michael McCarthy how he plans to save the Pole from big oil"
[265615],Source of gas-tracer funding fuels probe
[297157],Source of gas-tracer funding fuels probe
[679196],Source of gas-tracer funding fuels probe
[353527],Source of gas-tracer funding fuels probe
[412064],PESTICIDE PANIC
[767527],"High-cost oil projects may be wasted, report says"
[762279],"High-cost oil projects may be wasted, report says"
[446376],"High-cost oil projects may be wasted, report says"
[401818],International: US court slashes Exxon Valdez damages
[859745],International: US court slashes Exxon Valdez damages
[867078],International: US court slashes Exxon Valdez damages
[619595],International: US court slashes Exxon Valdez damages
[131191], Chips are down for Irish high-tech boom
[601920], Chips are down for Irish high-tech boom
[455352], Chips are down for Irish high-tech boom
[839591],Extract from An Inconvenient Truth
[474811],Extract from An Inconvenient Truth
[957079],"Nation bids adieu to Trudeau: A roundup of the events, big and small, that made news this week."
[380835],"Nation bids adieu to Trudeau: A roundup of the events, big and small, that made news this week."
[303376],"Nation bids adieu to Trudeau: A roundup of the events, big and small, that made news this week."
[183438],"Environment, Social and Governance Supplement: Case Study: Technology Sector - Sustainable and responsible investing"
[707686],Exxon pays $2.64 million to settle EPA complaint
[134514],Exxon pays $2.64 million to settle EPA complaint
[119792],Exxon pays $2.64 million to settle EPA complaint
[785995],Exxon pays $2.64 million to settle EPA complaint
[856347],Metro Business; Business Group Backs G.E. on PCB's
[802773],INSIDE
[769196],Baby care
[409055],Baby care
[581364],Baby care
[682811],"Mayor voted for Wal-Mart, against Tarpon"
[887417],"Exclusive: Make food and drink corporations 'account for water usage', says scientist; Food production's effect on water supplies must be investigated and properly recorded, warns Professor Tony Allan"
[393146],COMPANY NEWS; EXXON TO GET $300 MILLION IN A PARTIAL SETTLEMENT
[666304],COMPANY NEWS; EXXON TO GET $300 MILLION IN A PARTIAL SETTLEMENT
[355972],COMPANY NEWS; EXXON TO GET $300 MILLION IN A PARTIAL SETTLEMENT
[425341],My Say: The climate change revolution
[804662],My Say: The climate change revolution
[257826],My Say: The climate change revolution
[863592],"INTERVIEW: CHEVRON takes on Ecuador's government; CHEVRON General Counsel Charles James and other company officials sat down with Platts Oilgram News Managing Editor Beth Evans in New York October 10 to discuss developments in Ecuador, including what the company calls a ""partnership"" between the new leftist President Rafael Correa and plaintiffs seeking a multi-billion-dollar settlement from an environmental lawsuit that could result in a decision against the oil major. James left his position as US assistant attorney general for antitrust to join CHEVRON five years ago."
[583984],"INTERVIEW: CHEVRON takes on Ecuador's government; CHEVRON General Counsel Charles James and other company officials sat down with Platts Oilgram News Managing Editor Beth Evans in New York October 10 to discuss developments in Ecuador, including what the company calls a ""partnership"" between the new leftist President Rafael Correa and plaintiffs seeking a multi-billion-dollar settlement from an environmental lawsuit that could result in a decision against the oil major. James left his position as US assistant attorney general for antitrust to join CHEVRON five years ago."
[294336],"INTERVIEW: CHEVRON takes on Ecuador's government; CHEVRON General Counsel Charles James and other company officials sat down with Platts Oilgram News Managing Editor Beth Evans in New York October 10 to discuss developments in Ecuador, including what the company calls a ""partnership"" between the new leftist President Rafael Correa and plaintiffs seeking a multi-billion-dollar settlement from an environmental lawsuit that could result in a decision against the oil major. James left his position as US assistant attorney general for antitrust to join CHEVRON five years ago."
[806987],"INTERVIEW: CHEVRON takes on Ecuador's government; CHEVRON General Counsel Charles James and other company officials sat down with Platts Oilgram News Managing Editor Beth Evans in New York October 10 to discuss developments in Ecuador, including what the company calls a ""partnership"" between the new leftist President Rafael Correa and plaintiffs seeking a multi-billion-dollar settlement from an environmental lawsuit that could result in a decision against the oil major. James left his position as US assistant attorney general for antitrust to join CHEVRON five years ago."
[571364],WHAT THE OTHER PAPERS SAY THIS MORNING
[273453],WHAT THE OTHER PAPERS SAY THIS MORNING
[128800],WHAT THE OTHER PAPERS SAY THIS MORNING
[808893],"Beijing clarifies why Coke, PEPSI made top polluters list"
[208153],"Beijing clarifies why Coke, PEPSI made top polluters list"
[468560],"Beijing clarifies why Coke, PEPSI made top polluters list"
[267286],Legal & Legislative:
[257826],Legal & Legislative:
[843464],Legal & Legislative:
[764821],Legal & Legislative:
[344301],Green group split on cash for cans; Recycling - Coca-Cola caught in row
[570734],Green group split on cash for cans; Recycling - Coca-Cola caught in row
[878358],Green group split on cash for cans; Recycling - Coca-Cola caught in row
[623888],Nigeria; Mobil Denies Estate Firm On Oil Spill Compensation
[792062],Nigeria; Mobil Denies Estate Firm On Oil Spill Compensation
[623888],Barrow to push over Gorgon gas site
[128800],Barrow to push over Gorgon gas site
[623217],Coalition calls up moguls to carbon panel
[785995],Coalition calls up moguls to carbon panel
[789726],Nigeria; Exxonmobil Resumes Oil Shipments After Akwa-Ibom Spill Clean-Up
[152304],Nigeria; Exxonmobil Resumes Oil Shipments After Akwa-Ibom Spill Clean-Up
[583984],Nigeria; Exxonmobil Resumes Oil Shipments After Akwa-Ibom Spill Clean-Up
[932281],Anger at oil chief's$400m retirement package
[105236],Anger at oil chief's$400m retirement package
[764821],Bad Apple
[556033],Communications - Case Study - Oxfam a 'critical friend' of food firms
[464891],Louisiana sues oil companies over erosion
[505876],Louisiana sues oil companies over erosion
[789469],Louisiana sues oil companies over erosion
