sentence,difficulty
C'est pour quand ?,A1
Je pense que c'est bon.,A1
C'est pas mal.,A1
Qu'est-ce que vous faites ?,A1
C'est bien !,A1
Ce n'est pas juste.,A1
Je ne veux pas.,A1
Je ne sais pas.,A1
Plus que ça.,A1
"Non, je ne le trouve pas !",A1
Qu'est-ce que ça veut dire ?,A1
C'est déjà ça.,A1
Je m'en vais.,A1
Je ne comprends pas.,A1
Je ne te crois pas.,A1
Je ne me sens pas bien.,A1
Tu ne comprends pas.,A1
C'est pour la photo !,A1
"Je suis désolée, elle n'est pas là.",A1
Je n'ai pas bien compris.,A1
Je suis d'accord.,A1
Ce n'est pas important.,A1
Et toi ?,A1
Mais il y a un problème .,A1
Est-ce que ça suffit?,A1
Il n'a pas de veste,A1
Va-t'en !,A1
Qu'est-ce que tu regardes ?,A1
Pourquoi il ne parle pas ?,A1
C'est fini.,A1
Est-ce qu'il y a du pain?,A1
"C'est ici, Monsieur.",A1
Qu'est-ce qu'ils font ?,A1
Qu'est ce que vous faites dans le parc?,A1
Ne m'attends pas.,A1
Y a-t-il de la place pour moi avec vous ?,A1
Pas de fête avec vous ce soir,A1
Ça ne marche pas.,A1
Je reste à la maison,A1
Est-ce qu'il y a des devoirs?,A1
Il est gros.,A1
Je suis désolé,A1
S'il vous plaît.,A1
J'ai mal à la tête.,A1
Je n'ai pas de voiture et je n'aime pas beaucoup prendre le métro,A1
Où est-ce que vous allez Madame ?,A1
Non.,A1
Oui c'est pour combien de personnes ?,A1
"Et chez vous, comment va la vie ?",A1
Il ne vient pas à la fête ce soir,A1
Je me sens bien.,A1
J'ai une question.,A1
Tu n'as pas de stylo ?,A1
D'où viens-tu ?,A1
Il a mal à la tête à cause de la musique.,A1
Tu viens d'où ?,A1
C'est facile !,A1
Il est l'heure de déjeuner !,A1
Il est peut-être chez moi.,A1
As-tu besoin de quelque chose?,A1
"Ici, c'est mon bureau.",A1
"Moi, je ne vais jamais chez elle.",A1
Comment ça va ?,A1
J'ai un frère et une soeur.,A1
Qu'est-ce que tu penses de cette peinture ?,A1
Qu'est-ce qu'il a ton petit chat ?,A1
Qu'en pensez-vous ?,A1
Elle ne travaille pas,A1
Je n'aime pas le pain.,A1
"Oui, ça va, merci.",A1
Qu'est-ce que vous faites le samedi et le dimanche ?,A1
J'ai une soeur,A1
Elle est petite.,A1
C'est une chance pour lui : il va gagner un peu plus d'argent.,A1
Qu'est-ce que tu fais pour les vacances cette année,A1
Je suis désolée.,A1
Qu'est-ce que tu vas faire l'année prochaine,A1
Je reste avec toi.,A1
C'est loin de Paris ça !,A1
Ce qui est faux.,A1
Elle pense à lui.,A1
"C'est là, au bout de la rue.",A1
Ne pas le casser.,A1
La réponse est oui.,A1
C'est quoi le plat du jour s'il vous plaît ?,A1
Je suis dans ma chambre.,A1
Comment allez-vous ?,A1
Je vais à la gare.,A1
Qu'est-ce que vous avez comme tartes ?,A1
Bien sûr que tu vas y aller.,A1
"Tout va bien, merci.",A1
Je suis nouveau ici.,A1
C'est clair.,A1
"Il y a beaucoup de choses à faire à Paris, crois-moi.",A1
Je n'aime pas cette photo.,A1
Je ne trouve pas le livre que tu cherches.,A1
"Mais aujourd'hui, il a un peu peur.",A1
Est-ce que ton mari est aussi de Boston?,A1
Je ne comprends pas ta question.,A1
Le chien est le meilleur ami de l'homme.,A1
Je vais aller la chercher,A1
"Oui, ça sera tout ?",A1
"Un instant, s'il vous plaît.",A1
Elle a ouvert la porte de la maison.,A1
Quoi !,A1
Il y a de la neige à la montage.,A1
Pourquoi on ne peut pas entrer dans la chambre ?,A1
Qu'est-ce que vous mangez pour le petit-déjeuner ?,A1
Je ne suis jamais content.,A1
C'est très difficile.,A1
Juste un peu.,A1
"Oui, elle est grande. Mais le lit est petit.",A1
Et c'est efficace ?,A1
Vous avez des enfants ?,A1
"Merci, c'est gentil.",A1
Je suis en vacances !,A1
C'est très simple !,A1
Moi c'est Pierre.,A1
Elle est grande !,A1
Je ne parle pas bien français.,A1
Rien d'autre.,A1
Tout est prêt.,A1
On ne peut pas utiliser son portable et il n'est pas permis de manger,A1
"Oui, je me doute.",A1
"Non, Je ne parle pas français.",A1
Je reste en famille.,A1
Que faire à Paris ?,A1
Peux-tu m'aider?,A1
"En été, j'aime faire de la randonnée et vous, que faites-vous le soir en hiver ?",A1
Il va à l'école des petits.,A1
Je voudrais un café s'il-vous-plaît !,A1
Très bien !,A1
"Il est tard, je rentre chez moi.",A1
Je vais prendre le premier.,A1
Quelle heure il est ?,A1
Il ne reste pas seul chez lui ce soir,A1
C'est magique pour les enfants.,A1
Comment vas-tu ?,A1
Je suis très belle.,A1
"Pour aller à la mairie, s'il vous plaît ?",A1
Je prends le train.,A1
C'est un hôtel au bord de la mer,A1
Je ne trouve pas la rue du marché.,A1
Il fait un temps magnifique et nous avons des milliers de choses à faire !,A1
"Ce qui me plaît surtout, c'est le silence de la montagne.",A1
"Ca va, merci. Et toi ?",A1
"Entre les deux, il y a le gris : c'est un mélange de blanc et de noir.",A1
Ne regardez pas le livre.,A1
Je voudrais la clé s'il vous plaît.,A1
"Le jeudi et le vendredi, je reste chez moi et je travaille à la maison",A1
C'était super !,A1
"Bonjour, ça va ?",A1
Tu ne trouves pas ça difficile ?,A1
Il faut savoir tout faire.,A1
Je ne trouve pas mes clés de maison.,A1
"Qu'est-ce que je vous sers, mesdemoiselles ?",A1
Tout le monde a bien mangé.,A1
Tu vas à l'université ?,A1
Salut tout le monde,A1
Savez-vous pourquoi ?,A1
Elle est plus âgée que moi.,A1
Il a des lunettes,A1
Est-ce que vous avez des projets pour le Nouvel An ?,A1
Il sera content de te voir.,A1
"Là, c'est le bureau de notre manageur.",A1
"J'ai préparé le repas, il est dans la cuisine.",A1
"Où sont les toilettes, s'il-vous-plaît ?",A1
J'ai hâte de la rencontrer.,A1
C'est parce qu'il n'aimait pas les plats de la cantine.,A1
Est-ce que je peux chercher mes valises ?,A1
Il est sous la douche.,A1
Il a trouvé un copain.,A1
"Après, je vais dans la cuisine et je bois mon café",A1
Vous vous appelez comment ?,A1
Il est bizarre ce chien.,A1
"À droite de la table, il y a un fauteuil et sur le fauteuil il y a un blouson",A1
Juste un moment.,A1
Qu'as-tu mangé ?,A1
Ce magasin n'est pas loins de chez moi,A1
Je suis professeur.,A1
Son frère est à côté,A1
Il s'appelle Albert et il a un an.,A1
"Le temps devient de plus en plus frais, il commence à y avoir de la pluie et du vent.",A1
Il est très fâché parce qu'elle ne lui a pas répondu au téléphone.,A1
"Le soir, pour me détendre, j'écoute de la musique ou je regarde un peu la télé",A1
"Je ne peux rien te dire, Victor.",A1
Encore une fois.,A1
"Il ne la connaît pas bien, alors il demande à ses autres collègues",A1
Je suis triste sans elle.,A1
Oh oui !,A1
J'aime le café.,A1
"Vous pouvez expliquer encore une fois, s'il vous plaît ?",A1
Je ne trouve pas mes clés.,A1
"Moi, je suis français!",A1
Etes-vous à la maison ?,A1
Je dois beaucoup travailler mais ça me plaît,A1
"Je suis encore au bureau, je vais rentrer plus tard.",A1
Je t'appelle demain,A1
Il y a beaucoup de désordre dans l'appartement.,A1
"Je suis désolé, j'ai oublié mes devoirs à la maison.",A1
il appelle un docteur !,A1
C'est chouette !,A1
"C'est peut-être un petit frère, un gentil chien comme moi .",A1
Il commence à y avoir de la pluie et du vent. C'est le moment de sortir mon manteau et mon parapluie !,A1
"Si tu veux, tu peux arriver tôt.",A1
Je comprends la situation.,A1
J'ai la carte jeune.,A1
Bonjour a tous!,A1
Il est important de boire du café.,A1
Elle est au chômage en ce moment,A1
Juste un petit peu.,A1
Ils seront tous à la maison ce soir.,A1
Je sors avec des amis.,A1
J'ai faim,A1
Elle est entrée.,A1
"Je suis une fille, je suis française et j'ai treize ans",A1
Il vient à la cérémonie ce soir,A1
Il ne me laisse pas regarder la télévision.,A1
Je parle beaucoup.,A1
Je travaille chez moi le matin et l'après-midi,A1
Es-tu prêt?,A1
Vous prenez la voiture.,A1
j'espère vous avoir près de moi pour une jolie fête.,A1
Je n'aime pas dessiner.,A1
Un enfant est drôle.,A1
Tu me fais plaisir !,A1
Tu gagnes de l'argent.,A1
On s'est tout de suite très bien entendues.,A1
Je te présente Marie. C'est une amie.,A1
J'ai froid,A1
Je suis le mouton,A1
Elle est rapide.,A1
Je suis architecte. Et toi ?,A1
"Tous les lundis, c'est la même chose",A1
Je vous coupe les cheveux.,A1
Comment allez-vous aujourd'hui ?,A1
Monsieur de Cyrano n'est pas là ?,A1
"Et après, on peut prendre un bain dans la piscine, l'eau est bonne !",A1
"Je suis malade, je reste dans mon lit aujourd'hui.",A1
"Le bleu, c'est ma couleur préférée mais je n'aime pas le vert!",A1
La balle est partie.,A1
ça me donne faim tout ça,A1
Elle aime le sport et la musique,A1
Tu rêves de partir.,A1
Je mange de l'herbe,A1
Que se passe-t-il?,A1
Un bureau !,A1
Il n'a pas cours l'après-midi du mercredi,A1
Il y a des cours de portugais.,A1
Vous êtes partie.,A1
"Mon mari et moi avons deux enfants, une fille de sept ans et un garçon de trois ans.",A1
Je suis secrétaire et je m'occupe de mes deux enfants quand ils rentrent de l'école.,A1
"Ne te couche pas trop tard, tu vas à l'école demain.",A1
J'ai peur du noir.,A1
Elle a décidé de s'y installer.,A1
"Aujourd'hui, c'est leur mariage.",A1
Vous pouvez m'aider ?,A1
J'aime bien courir le matin en été.,A1
"Et aujourd'hui, je suis artiste.",A1
Je suis américain.,A1
Pour le dessert il y a de la mousse au chocolat.,A1
Il est employé,A1
C'est bientôt l'anniversaire de Julie.,A1
C'est une charmante ville.,A1
Est-ce que le professeur Omar est libre ?,A1
"Bonjour, c'est mon dernier jour dans cette école.",A1
J'espères que tu vas bien,A1
"Même si Limoges est une grande ville, elle n'a rien à voir avec Paris !",A1
J'ai passé une très bonne journée de vacances.,A1
Nous allons à la plage.,A1
Quel est ton numéro de téléphone ?,A1
C'est ma meilleure amie,A1
L'addition s'il-vous-plaît !,A1
"Salut, moi c'est Laura.",A1
"Je veux dire, vraiment triste.",A1
Il joue de la guitare dans un bar.,A1
"Le soir en hiver, j'aime bien lire près de la cheminée et faire de la cuisine.",A1
"Le quartier est tranquille et agréable, et pas trop loin de l'Université",A1
Tu prends une douche et tu vas au lit.,A1
J'aime beaucoup l'école,A1
Il fait très chaud ce matin à la plage.,A1
Mais où est Alice ?,A1
Je vous coupe les cheveux comme cela ?,A1
"C'est pratique pour aller d'un centre commercial à un autre, pour aller à l'école, à la piscine, au stade ou encore au théâtre, parce que la ville est très grande",A1
C'est aussi le moment idéal pour profiter de l'eau et aller nager à la mer ou à la piscine.,A1
C'est fantastique ! Merci beaucoup.,A1
"Il trouve qu'il fait trop chaud, alors il s'est ennuyé",A1
Changer de vie.,A1
Il croit que nous avons raison.,A1
C'est haut là-haut !,A1
Marc n'est pas très grand,A1
"Mon frère Patrice est plus jeune que moi, il va à l'école des petits.",A1
On va manger dans le jardin.,A1
"Dans la classe, il est interdit de fumer",A1
Elle s'appelle Folio et elle a un an.,A1
Parlez-moi de votre maison.,A1
